epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,3887.47,1.19416,0.95916,1.40707,0.74123,0.65969,0.72711,0.39765,1.55848,1.13053,1.76805,0.00022285,0.00022285,0.00022285
159,3911.93,1.19519,0.95985,1.4039,0.71844,0.66468,0.71662,0.38981,1.56283,1.15142,1.78498,0.0002179,0.0002179,0.0002179
160,3936.35,1.19755,0.95392,1.40452,0.70345,0.67087,0.72244,0.3886,1.55927,1.12797,1.7924,0.00021295,0.00021295,0.00021295
161,3960.82,1.20137,0.96891,1.41552,0.72856,0.66348,0.71612,0.38959,1.56138,1.15454,1.81041,0.000208,0.000208,0.000208
162,3985.31,1.19798,0.94542,1.4045,0.7002,0.67303,0.71411,0.39112,1.56652,1.13052,1.79482,0.00020305,0.00020305,0.00020305
163,4009.76,1.16079,0.94025,1.38749,0.71845,0.66382,0.71457,0.3922,1.57876,1.12668,1.8166,0.0001981,0.0001981,0.0001981
164,4034.2,1.16975,0.92352,1.39161,0.69207,0.68138,0.71273,0.39001,1.56666,1.15364,1.79972,0.00019315,0.00019315,0.00019315
165,4058.66,1.19412,0.94346,1.40441,0.70939,0.6778,0.71368,0.38405,1.58627,1.14869,1.80697,0.0001882,0.0001882,0.0001882
166,4083.11,1.17843,0.9377,1.40254,0.73833,0.64558,0.71115,0.38595,1.57789,1.1512,1.79635,0.00018325,0.00018325,0.00018325
167,4107.55,1.17017,0.93152,1.38509,0.7522,0.66587,0.7284,0.39706,1.57208,1.11097,1.78934,0.0001783,0.0001783,0.0001783
168,4131.99,1.16939,0.93711,1.39223,0.74141,0.6535,0.72212,0.39354,1.57411,1.1491,1.7931,0.00017335,0.00017335,0.00017335
169,4156.43,1.14838,0.91407,1.37369,0.72289,0.67184,0.7242,0.39403,1.57529,1.13652,1.79806,0.0001684,0.0001684,0.0001684
170,4180.89,1.16932,0.92686,1.37838,0.72252,0.68974,0.72149,0.39305,1.57793,1.12894,1.80926,0.00016345,0.00016345,0.00016345
171,4205.33,1.15763,0.91488,1.37914,0.72513,0.67998,0.72421,0.39806,1.57505,1.10991,1.81885,0.0001585,0.0001585,0.0001585
172,4229.83,1.15923,0.91101,1.36626,0.77778,0.63007,0.72603,0.40036,1.55846,1.12419,1.78967,0.00015355,0.00015355,0.00015355
173,4254.33,1.15412,0.9117,1.36759,0.71788,0.67716,0.72342,0.39597,1.55208,1.11641,1.77909,0.0001486,0.0001486,0.0001486
174,4278.78,1.1301,0.8874,1.35345,0.7269,0.65747,0.71921,0.39101,1.56345,1.11377,1.79524,0.00014365,0.00014365,0.00014365
175,4303.27,1.15585,0.9307,1.38322,0.70459,0.67184,0.72469,0.3974,1.56317,1.11152,1.79007,0.0001387,0.0001387,0.0001387
176,4327.76,1.16817,0.92073,1.37413,0.75941,0.65752,0.72732,0.39958,1.56259,1.1158,1.7978,0.00013375,0.00013375,0.00013375
177,4352.21,1.1455,0.88931,1.36417,0.75253,0.679,0.73194,0.39759,1.55816,1.09393,1.79736,0.0001288,0.0001288,0.0001288
178,4376.68,1.15897,0.91024,1.38086,0.74646,0.66348,0.72525,0.39756,1.56104,1.11879,1.79912,0.00012385,0.00012385,0.00012385
